TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-01,2026-02-01,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,16200.00,16685.00,15583.77,15912.58,15805.00,17315.30,,15901.31,,,808,12791331.38,201,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,17700.00,17700.00,16107.53,16107.53,16107.53,17897.25,,16107.53,,,645,10453545.62,180,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,17000.00,17000.00,15659.72,15859.50,15850.00,17399.68,,15862.97,,,3420,54079668.65,691,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,16100.00,16100.00,15611.00,15893.87,15800.00,17311.80,,15883.18,,,379,6056253.22,103,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,17500.00,17500.00,15601.95,15873.31,15850.00,17335.50,,15873.31,,,1138,18089513.75,236,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,16989.68,16989.68,15700.26,15871.29,15800.00,17444.73,,15871.58,,,2523,39996892.57,460,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,17044.77,17044.77,15660.00,15883.02,15752.00,17392.62,,15891.51,,,1915,30444426.44,330,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,17093.85,17093.85,15384.47,15555.01,15555.01,17093.85,,15476.73,,,29,458594.06,15,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,16289.00,16289.00,15762.00,15900.00,15900.00,17513.00,,15900.00,,,21,337450.00,11,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15513.21,16999.00,15513.21,15941.97,15654.01,17236.90,,15941.97,,,71,1122420.42,52,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,17600.00,17600.00,17600.00,17600.00,17600.00,17600.00,,16000.00,,,4,70400.00,3,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,17001.00,17001.00,16020.00,16100.00,16100.00,17800.00,,16100.00,,,16,260040.96,12,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,16600.00,16600.00,15700.00,16200.00,16200.00,17303.19,,16200.00,,,45,712200.00,7,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,17768.00,17768.92,15992.03,16077.07,16000.00,17768.92,,16077.07,,,266,4354494.86,129,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,16000.00,16070.00,15531.00,15945.04,15949.97,17256.26,,15945.04,,,46,728763.50,24,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15525.14,16200.00,15524.82,15884.99,15800.00,17249.80,,15884.99,,,230,3613872.60,77,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,16060.00,16060.00,15543.00,15800.00,15800.00,17269.80,,15800.00,,,88,1382375.96,35,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,17575.00,17575.00,17009.00,17150.00,17150.00,18898.40,,17074.50,,,13,223976.54,7,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,17517.71,17517.71,15766.00,15816.18,15795.00,17517.71,,15819.35,,,64,1019730.08,29,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,16100.00,16989.00,16037.10,16211.00,16211.00,17819.00,,16211.00,,,167,2693201.32,61,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,17389.70,17389.70,15799.00,16021.62,15960.00,17551.02,,16018.11,,,849,13634125.02,305,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,17000.00,17000.00,15713.43,15879.35,15845.00,17459.36,,15872.62,,,1021,16209504.36,258,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,16969.70,16969.70,15608.06,16000.12,15865.00,17342.28,,16000.12,,,1802,28596895.41,369,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15672.96,16299.97,15672.96,15999.00,15999.00,17414.39,,15999.00,,,80,1279277.51,28,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,16989.70,16989.70,15811.30,16011.87,15950.00,17568.11,,16044.03,,,3747,60032599.54,786,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,16989.70,16989.70,15613.66,15894.55,15866.00,17348.51,,15894.55,,,1045,16569503.29,277,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,16999.00,16999.00,15628.14,15956.03,15999.00,17364.59,,15956.03,,,626,9975581.31,90,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,16001.00,16150.00,15711.00,16100.00,16100.00,17452.77,,16100.00,,,71,1133076.50,22,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15572.00,16895.00,15571.30,15849.87,15800.17,17301.42,,15849.87,,,90,1449701.98,19,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,17000.00,17000.00,15679.75,16015.44,16000.00,17421.94,,16016.81,,,1390,22140948.22,304,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,17200.00,17200.00,15527.00,15908.68,15890.00,17250.86,,15908.68,,,1247,19697562.35,208,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,16545.00,17000.00,16100.00,16264.01,16500.00,17790.47,,16263.09,,,494,8063458.52,198,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,17000.00,17147.70,15892.53,15957.74,15895.00,17658.36,,15966.66,,,1070,17225008.97,343,F1,1,,,,,
2026-02-01,2026-02-01,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15900.00,16502.33,15633.80,15953.84,15808.00,17370.88,,15953.84,,,619,9820377.77,157,F1,1,,,,,
